employee_status,movement,employee_id,employee_name,date_of_joining,date_of_relieving,reporting_manager,employee_type,gender,marital_status,grade,department,total_experience,hire_year,stability,visa_type,tenure_years,estimated_age,age_group,tenure_band,is_attrition
Attrition,,Ct15252,Salama Al-Mansoori,2023-06-06,2024-05-03,Alejandra Mack,Contract,Female,Single,Contract,Hr,0.1,2023,2+ Years,Company Sponsored,2.92,23.1,<25,2yr,1
On-Board,,Ct13664,Rashid Al-Shamsi,2023-10-19,,Alejandra Mack,Contract,Female,Single,Contract,Hr,0.0,2023,2+ Years,Family Sponsored,2.55,23.0,<25,2yr,0
On-Board,,Ct10043,Aisha Al-Suwaidi,2023-12-14,,Alejandra Mack,Contract,Female,Single,Contract,Legal,4.0,2023,2+ Years,Company Sponsored,2.4,27.0,25-29,2yr,0
On-Board,,Ct16547,Khalid Al-Jarwan,2024-02-06,2024-02-10,Roberta Moyer,Contract,Male,Single,Contract,Hr,0.0,2024,2+ Years,Company Sponsored,2.25,23.0,<25,2yr,0
On-Board,,Ct11188,Mahra Al-Falasi,2024-03-27,,Alejandra Mack,Contract,Male,Married,Contract,Marketing,10.0,2024,2+ Years,Golden Visa,2.11,33.0,30-34,2yr,0
On-Board,,Ct14537,Saeed Al-Mazrouei,2024-06-01,,Alejandra Mack,Contract,Female,Married,Contract,Legal,4.0,2024,1+ Years,Golden Visa,1.93,27.0,25-29,1yr,0
On-Board,,Ct14690,Reem Al-Hashemi,2025-01-05,,Jefferson Perry,Contract,Female,Married,Contract,Finance,4.8,2025,1+ Years,Company Sponsored,1.34,27.8,25-29,1yr,0
On-Board,,Ct16195,Ali Al-Zaabi,2025-01-14,,Jefferson Perry,Contract,Male,Single,Contract,Operations,9.0,2025,1+ Years,Family Sponsored,1.31,32.0,30-34,1yr,0
On-Board,,Ct16735,Shamma Al-Rumaithi,2025-04-28,,Ryan Simmons,Contract,Male,Married,Contract,Marketing,8.0,2025,<1 Year,Company Sponsored,1.03,31.0,30-34,1yr,0
On-Board,Ijp,107224.0,Zayed Al-Hajri,2020-02-06,,Roberta Moyer,Permanent,Male,Single,Trainees,Operations,13.0,2020,5+ Years,Family Sponsored,6.25,36.0,35-39,6+yr,0
Attrition,Ijp,148467.0,Mouza Al-Khouri,2020-02-08,2024-06-30,Jefferson Perry,Permanent,Female,Single,Trainees,Accounting,5.0,2020,5+ Years,Company Sponsored,6.25,28.0,25-29,6+yr,1
Attrition,,114416.0,Mansoor Al-Balooshi,2020-02-13,2024-01-09,Alejandra Mack,Permanent,Male,Married,Management,Finance,8.0,2020,5+ Years,Golden Visa,6.23,31.0,30-34,6+yr,1
On-Board,,189095.0,Maitha Al-Maktoum,2020-02-26,,Alejandra Mack,Permanent,Male,Single,Management,Operations,17.0,2020,5+ Years,Company Sponsored,6.2,40.0,40-49,6+yr,0
Attrition,,123874.0,Saif Al-Qubaisi,2020-03-11,2021-12-30,Alejandra Mack,Permanent,Male,Married,Trainees,Accounting,14.0,2020,5+ Years,Family Sponsored,6.16,37.0,35-39,6+yr,1
On-Board,Ijp,147637.0,Latifa Al-Tayer,2020-03-26,,Roberta Moyer,Permanent,Male,Single,Trainees,Finance,14.0,2020,5+ Years,Company Sponsored,6.12,37.0,35-39,6+yr,0
On-Board,Ijp,183900.0,Hassan Al-Haddad,2020-04-29,,Alejandra Mack,Permanent,Male,Single,Management,Accounting,13.0,2020,5+ Years,Family Sponsored,6.02,36.0,35-39,6+yr,0
On-Board,,110700.0,Meera Al-Fahim,2020-05-20,,Alejandra Mack,Permanent,Male,Single,Management,Finance,13.0,2020,5+ Years,Company Sponsored,5.97,36.0,35-39,5yr,0
On-Board,Ijp,188035.0,Obaid Al-Muhairi,2020-06-12,,Janelle Wiley,Permanent,Male,Single,Trainees,Operations,7.0,2020,5+ Years,Family Sponsored,5.9,30.0,30-34,5yr,0
On-Board,,131049.0,Noura Al-Jabri,2020-06-18,,Alejandra Mack,Permanent,Male,Single,Management,Operations,13.0,2020,5+ Years,Company Sponsored,5.89,36.0,35-39,5yr,0
Attrition,,180582.0,Butti Al-Mulla,2020-06-26,2021-06-30,Janelle Wiley,Permanent,Female,Single,Professional,Accounting,0.0,2020,5+ Years,Family Sponsored,5.86,23.0,<25,5yr,1
On-Board,,126718.0,Alia Al-Sayegh,2020-07-08,,Alejandra Mack,Permanent,Male,Single,Trainees,Accounting,6.5,2020,5+ Years,Company Sponsored,5.83,29.5,25-29,5yr,0
On-Board,,192425.0,Salem Al-Suwaidi,2020-07-24,,Roberta Moyer,Permanent,Male,Single,Trainees,Finance,8.0,2020,5+ Years,Family Sponsored,5.79,31.0,30-34,5yr,0
On-Board,,174008.0,Dana Al-Habtoor,2020-07-31,,Janelle Wiley,Permanent,Female,Single,Trainees,Accounting,12.0,2020,5+ Years,Golden Visa,5.77,35.0,35-39,5yr,0
Attrition,,129735.0,Faisal Al-Rashid,2020-08-14,2022-06-29,Alejandra Mack,Permanent,Male,Single,Trainees,Operations,5.0,2020,5+ Years,Family Sponsored,5.73,28.0,25-29,5yr,1
Attrition,,117328.0,Wadima Al-Ahbabi,2020-08-26,2022-04-30,Alejandra Mack,Permanent,Male,Married,Trainees,Operations,4.8,2020,5+ Years,Company Sponsored,5.7,27.8,25-29,5yr,1
On-Board,,110646.0,Omar Al-Kaabi,2020-09-01,,Geneva Hardy,Permanent,Male,Married,Trainees,Finance,9.0,2020,5+ Years,Golden Visa,5.68,32.0,30-34,5yr,0
On-Board,,114446.0,Shaikha Al-Rashed,2020-09-01,,Jefferson Perry,Permanent,Male,Married,Management,Finance,8.0,2020,5+ Years,Company Sponsored,5.68,31.0,30-34,5yr,0
On-Board,,189125.0,Rahul Nair,2020-09-01,,Ryan Simmons,Permanent,Male,Married,Management,Operations,17.0,2020,5+ Years,Company Sponsored,5.68,40.0,40-49,5yr,0
On-Board,Ijp,183930.0,Priya Sharma,2020-09-01,,Ryan Simmons,Permanent,Male,Married,Management,Accounting,13.0,2020,5+ Years,Company Sponsored,5.68,36.0,35-39,5yr,0
On-Board,,110730.0,Sanjay Gupta,2020-09-01,,Darryl Leon,Permanent,Male,Single,Management,Finance,13.0,2020,5+ Years,Company Sponsored,5.68,36.0,35-39,5yr,0
On-Board,,131079.0,Anjali Patel,2020-09-01,,Roberta Moyer,Permanent,Male,Single,Management,Operations,13.0,2020,5+ Years,Company Sponsored,5.68,36.0,35-39,5yr,0
On-Board,,180612.0,Arjun Reddy,2020-09-01,,Janelle Wiley,Permanent,Female,Single,Professional,Accounting,0.0,2020,5+ Years,Family Sponsored,5.68,23.0,<25,5yr,0
Attrition,,154702.0,Kavita Iyer,2020-09-09,2024-01-20,Alejandra Mack,Permanent,Female,Married,Professional,Operations,0.0,2020,5+ Years,Company Sponsored,5.66,23.0,<25,5yr,1
On-Board,,101286.0,Vikram Singh,2020-09-09,,Alejandra Mack,Permanent,Male,Single,Management,Legal,14.0,2020,5+ Years,Family Sponsored,5.66,37.0,35-39,5yr,0
Attrition,,137383.0,Sneha Deshmukh,2020-09-16,2021-03-03,Geneva Hardy,Permanent,Male,Single,Management,Operations,9.0,2020,5+ Years,Company Sponsored,5.64,32.0,30-34,5yr,1
Attrition,,185704.0,Rohan Kulkarni,2020-09-16,2021-07-18,Janelle Wiley,Permanent,Male,Single,Professional,Hr,0.0,2020,5+ Years,Family Sponsored,5.64,23.0,<25,5yr,1
Attrition,,151727.0,Meera Menon,2020-09-16,2023-06-29,Janelle Wiley,Permanent,Male,Single,Professional,Hr,0.0,2020,5+ Years,Company Sponsored,5.64,23.0,<25,5yr,1
Attrition,,135167.0,Amit Verma,2020-09-16,2023-09-26,Janelle Wiley,Permanent,Male,Single,Professional,Hr,0.0,2020,5+ Years,Family Sponsored,5.64,23.0,<25,5yr,1
Attrition,,100971.0,Divya Joshi,2020-09-16,2023-12-23,Janelle Wiley,Permanent,Male,Single,Professional,Hr,0.0,2020,5+ Years,Company Sponsored,5.64,23.0,<25,5yr,1
Attrition,,145787.0,Rajesh Kumar,2020-09-16,2024-01-27,Janelle Wiley,Permanent,Female,Married,Professional,Hr,0.0,2020,5+ Years,Family Sponsored,5.64,23.0,<25,5yr,1
Attrition,,170924.0,Pooja Sharma,2020-09-16,2024-03-17,Jefferson Perry,Permanent,Male,Single,Professional,Hr,0.0,2020,5+ Years,Company Sponsored,5.64,23.0,<25,5yr,1
Attrition,,129573.0,Deepak Malhotra,2020-09-16,2024-09-29,Ryan Simmons,Permanent,Female,Single,Trainees,Hr,0.0,2020,5+ Years,Family Sponsored,5.64,23.0,<25,5yr,1
On-Board,,115742.0,Sunita Kapoor,2020-09-16,,Ryan Simmons,Permanent,Female,Single,Trainees,Hr,0.0,2020,5+ Years,Company Sponsored,5.64,23.0,<25,5yr,0
On-Board,,126064.0,Manish Shah,2020-09-16,,Ryan Simmons,Permanent,Female,Single,Trainees,Hr,0.0,2020,5+ Years,Family Sponsored,5.64,23.0,<25,5yr,0
On-Board,,173140.0,Neha Trivedi,2020-09-16,,Jefferson Perry,Permanent,Male,Single,Trainees,Hr,0.0,2020,5+ Years,Company Sponsored,5.64,23.0,<25,5yr,0
Attrition,,181592.0,Vinod Nair,2020-10-16,2024-02-03,Jefferson Perry,Permanent,Male,Married,Management,Hr,12.0,2020,5+ Years,Family Sponsored,5.56,35.0,35-39,5yr,1
Attrition,,144158.0,Ritu Bansal,2020-11-28,2023-03-31,Roberta Moyer,Permanent,Male,Married,Trainees,Accounting,6.0,2020,5+ Years,Company Sponsored,5.44,29.0,25-29,5yr,1
On-Board,,178955.0,Imran Khan,2020-12-02,,Jefferson Perry,Permanent,Male,Single,Trainees,Accounting,8.0,2020,5+ Years,Family Sponsored,5.43,31.0,30-34,5yr,0
Attrition,,110616.0,Sana Malik,2020-12-21,2022-03-31,Roberta Moyer,Permanent,Male,Married,Trainees,Finance,9.0,2020,5+ Years,Company Sponsored,5.38,32.0,30-34,5yr,1
Attrition,,120981.0,Farhan Ahmed,2020-12-26,2023-07-01,Roberta Moyer,Permanent,Female,Single,Professional,Operations,0.0,2020,5+ Years,Family Sponsored,5.36,23.0,<25,5yr,1
Attrition,,140182.0,Ayesha Siddiqui,2021-01-22,2022-03-15,Janelle Wiley,Permanent,Female,Single,Professional,Operations,0.0,2021,5+ Years,Company Sponsored,5.29,23.0,<25,5yr,1
Attrition,,174057.0,Zeeshan Ali,2021-01-22,2023-02-08,Janelle Wiley,Permanent,Male,Married,Trainees,Operations,6.0,2021,5+ Years,Family Sponsored,5.29,29.0,25-29,5yr,1
Attrition,,124194.0,Hina Batool,2021-01-29,2022-03-10,Ryan Simmons,Permanent,Male,Married,Management,Accounting,13.0,2021,5+ Years,Company Sponsored,5.27,36.0,35-39,5yr,1
Attrition,,185420.0,Bilal Hassan,2021-02-19,2023-09-30,Darryl Leon,Permanent,Male,Married,Trainees,Legal,5.0,2021,5+ Years,Family Sponsored,5.21,28.0,25-29,5yr,1
Attrition,,184945.0,Mariam Abbas,2021-02-24,2022-07-06,Ryan Simmons,Permanent,Male,Married,Trainees,Accounting,10.0,2021,5+ Years,Company Sponsored,5.2,33.0,30-34,5yr,1
On-Board,,129852.0,Usman Ghani,2021-03-02,,Janelle Wiley,Permanent,Male,Single,Management,Operations,10.0,2021,5+ Years,Family Sponsored,5.18,33.0,30-34,5yr,0
Attrition,,139272.0,Rabia Khan,2021-03-09,2023-06-30,Roberta Moyer,Permanent,Female,Married,Trainees,Operations,8.0,2021,5+ Years,Company Sponsored,5.16,31.0,30-34,5yr,1
On-Board,,194976.0,Ashan Perera,2021-03-16,,Janelle Wiley,Permanent,Female,Single,Trainees,Operations,3.5,2021,5+ Years,Family Sponsored,5.14,26.5,25-29,5yr,0
On-Board,,132557.0,Dilshan Silva,2021-05-27,,Ryan Simmons,Permanent,Female,Single,Trainees,Legal,7.0,2021,4+ Years,Company Sponsored,4.95,30.0,30-34,4yr,0
Attrition,Onroll,187280.0,Fathima Fernando,2021-08-10,2022-02-19,Janelle Wiley,Permanent,Female,Single,Professional,Operations,0.0,2021,4+ Years,Family Sponsored,4.74,23.0,<25,4yr,1
On-Board,Onroll,190396.0,Tharindu Jayasuriya,2021-08-10,,Janelle Wiley,Permanent,Male,Single,Professional,Operations,0.0,2021,4+ Years,Company Sponsored,4.74,23.0,<25,4yr,0
Transfer,,161242.0,Nimali Wickramasinghe,2021-08-12,,Geneva Hardy,Permanent,Male,Married,Trainees,Operations,10.0,2021,4+ Years,Family Sponsored,4.74,33.0,30-34,4yr,1
Attrition,,156965.0,Arshad Ali,2021-08-17,2022-03-16,Janelle Wiley,Permanent,Female,Married,Trainees,Operations,11.0,2021,4+ Years,Company Sponsored,4.72,34.0,30-34,4yr,1
Attrition,,192455.0,Salma Begum,2021-09-01,2021-02-06,Roberta Moyer,Permanent,Male,Married,Trainees,Finance,8.0,2021,4+ Years,Family Sponsored,4.68,31.0,30-34,4yr,1
Attrition,,174038.0,Tanvir Hussain,2021-09-01,2021-03-27,Janelle Wiley,Permanent,Female,Married,Trainees,Accounting,12.0,2021,4+ Years,Company Sponsored,4.68,35.0,35-39,4yr,1
On-Board,,129765.0,Fahad Islam,2021-09-01,,Roberta Moyer,Permanent,Male,Single,Trainees,Operations,5.0,2021,4+ Years,Family Sponsored,4.68,28.0,25-29,4yr,0
On-Board,,154732.0,Nusrat Jahan,2021-09-09,,Alejandra Mack,Permanent,Female,Single,Professional,Operations,0.0,2021,4+ Years,Company Sponsored,4.66,23.0,<25,4yr,0
On-Board,,137413.0,Kiran Dev,2021-09-16,,Alejandra Mack,Permanent,Male,Single,Management,Operations,9.0,2021,4+ Years,Family Sponsored,4.64,32.0,30-34,4yr,0
On-Board,,185734.0,Manoj Gurung,2021-09-16,,Janelle Wiley,Permanent,Male,Single,Professional,Hr,0.0,2021,4+ Years,Company Sponsored,4.64,23.0,<25,4yr,0
On-Board,,142749.0,Shiva Thapa,2021-09-30,,Janelle Wiley,Permanent,Male,Single,Trainees,Operations,17.0,2021,4+ Years,Family Sponsored,4.6,40.0,40-49,4yr,0
Attrition,,116657.0,Rita Rai,2021-10-21,2022-06-28,Janelle Wiley,Permanent,Male,Single,Trainees,Operations,4.6,2021,4+ Years,Company Sponsored,4.54,27.6,25-29,4yr,1
On-Board,,144530.0,Hari Pokharel,2021-11-18,,Janelle Wiley,Permanent,Male,Single,Trainees,Sales,14.0,2021,4+ Years,Golden Visa,4.47,37.0,35-39,4yr,0
On-Board,,101259.0,Sarah Jenkins,2022-02-24,,Ryan Simmons,Permanent,Male,Married,Management,Operations,12.0,2022,4+ Years,Golden Visa,4.2,35.0,35-39,4yr,0
On-Board,,122323.0,John Smith,2022-03-03,,Darryl Leon,Permanent,Female,Married,Trainees,Sales,14.0,2022,4+ Years,Company Sponsored,4.18,37.0,35-39,4yr,0
On-Board,,136489.0,Elena Rossi,2022-03-17,,Janelle Wiley,Permanent,Male,Married,Trainees,Sales,5.3,2022,4+ Years,Company Sponsored,4.14,28.3,25-29,4yr,0
On-Board,,107161.0,Lucas Meyer,2022-03-24,,Roberta Moyer,Permanent,Female,Single,Professional,Sales,2.5,2022,4+ Years,Company Sponsored,4.12,25.5,25-29,4yr,0
On-Board,,182061.0,Marcus White,2022-03-24,,Janelle Wiley,Permanent,Male,Single,Trainees,Sales,2.11,2022,4+ Years,Company Sponsored,4.12,25.1,25-29,4yr,0
On-Board,,123190.0,Sofia Petrov,2022-04-07,,Janelle Wiley,Permanent,Female,Single,Professional,Sales,0.0,2022,4+ Years,Company Sponsored,4.08,23.0,<25,4yr,0
On-Board,,118638.0,Chloe Muller,2022-04-07,,Janelle Wiley,Permanent,Male,Married,Trainees,Sales,15.0,2022,4+ Years,Company Sponsored,4.08,38.0,35-39,4yr,0
On-Board,,132330.0,Robert Wilson,2022-04-14,,Geneva Hardy,Permanent,Male,Married,Management,Hr,14.0,2022,4+ Years,Company Sponsored,4.07,37.0,35-39,4yr,0
On-Board,,191594.0,Jean Dupont,2022-04-19,,Darryl Leon,Permanent,Male,Married,Trainees,Operations,8.0,2022,3+ Years,Company Sponsored,4.05,31.0,30-34,4yr,0
Transfer,,152991.0,Michael Chen,2022-05-05,,Ryan Simmons,Permanent,Male,Married,Trainees,Operations,15.0,2022,3+ Years,Company Sponsored,4.01,38.0,35-39,4yr,1
Attrition,Onroll,101996.0,David Lee,2022-06-30,2023-07-01,Ryan Simmons,Permanent,Male,Single,Professional,Sales,1.0,2022,3+ Years,Company Sponsored,3.85,24.0,<25,3yr,1
Attrition,,138939.0,Emma Brown,2022-07-07,2023-05-08,Ryan Simmons,Permanent,Female,Married,Trainees,Operations,6.0,2022,3+ Years,Company Sponsored,3.84,29.0,25-29,3yr,1
Attrition,,198396.0,Thomas Anderson,2022-07-21,2024-02-02,Ryan Simmons,Permanent,Male,Married,Management,Accounting,18.0,2022,3+ Years,Company Sponsored,3.8,41.0,40-49,3yr,1
On-Board,,194143.0,Laura Garcia,2022-07-21,,Janelle Wiley,Permanent,Male,Married,Trainees,Sales,6.5,2022,3+ Years,Company Sponsored,3.8,29.5,25-29,3yr,0
Transfer,,134729.0,James Taylor,2022-07-26,,Ryan Simmons,Permanent,Male,Single,Trainees,Operations,7.0,2022,3+ Years,Company Sponsored,3.78,30.0,30-34,3yr,1
Attrition,,186526.0,Isabelle Martin,2022-09-01,2023-12-09,Janelle Wiley,Permanent,Female,Married,Professional,Sales,1.8,2022,3+ Years,Company Sponsored,3.68,24.8,<25,3yr,1
On-Board,,115395.0,Peter Schmidt,2022-09-01,,Janelle Wiley,Permanent,Female,Single,Professional,Sales,3.5,2022,3+ Years,Company Sponsored,3.68,26.5,25-29,3yr,0
On-Board,,160948.0,Maria Gonzalez,2022-09-01,,Janelle Wiley,Permanent,Female,Single,Professional,Sales,0.0,2022,3+ Years,Company Sponsored,3.68,23.0,<25,3yr,0
On-Board,,163814.0,William Jones,2022-09-01,,Roberta Moyer,Permanent,Male,Single,Professional,Sales,2.0,2022,3+ Years,Company Sponsored,3.68,25.0,25-29,3yr,0
On-Board,,163161.0,Anna Fischer,2022-09-01,,Janelle Wiley,Permanent,Male,Married,Trainees,Sales,13.0,2022,3+ Years,Company Sponsored,3.68,36.0,35-39,3yr,0
On-Board,,173240.0,Daniel Miller,2022-09-15,,Roberta Moyer,Permanent,Female,Married,Trainees,Sales,8.2,2022,3+ Years,Company Sponsored,3.64,31.2,30-34,3yr,0
On-Board,,109673.0,Julia Roberts,2022-10-06,,Janelle Wiley,Permanent,Male,Single,Professional,Sales,7.6,2022,3+ Years,Company Sponsored,3.59,30.6,30-34,3yr,0
On-Board,,138302.0,Kevin Dsouza,2022-10-13,,Janelle Wiley,Permanent,Male,Single,Professional,Sales,6.2,2022,3+ Years,Company Sponsored,3.57,29.2,25-29,3yr,0
Transfer,,126765.0,Olivia Wilson,2022-11-03,,Ryan Simmons,Permanent,Male,Married,Trainees,Operations,15.0,2022,3+ Years,Company Sponsored,3.51,38.0,35-39,3yr,1
Transfer,,188099.0,Benjamin Clark,2022-12-06,,Ryan Simmons,Permanent,Male,Married,Trainees,Operations,16.0,2022,3+ Years,Company Sponsored,3.42,39.0,35-39,3yr,1
On-Board,Onroll,115441.0,Grace Evans,2023-02-01,,Ryan Simmons,Permanent,Male,Single,Professional,Finance,1.5,2023,3+ Years,Company Sponsored,3.26,24.5,<25,3yr,0
On-Board,Onroll,169669.0,Samuel Harris,2023-04-11,,Ryan Simmons,Permanent,Female,Married,Trainees,Legal,6.0,2023,3+ Years,Company Sponsored,3.07,29.0,25-29,3yr,0
On-Board,,100957.0,Lily Campbell,2023-04-20,,Ryan Simmons,Permanent,Female,Married,Trainees,Operations,8.0,2023,2+ Years,Company Sponsored,3.05,31.0,30-34,3yr,0
Transfer,,193737.0,Henry Lewis,2023-05-11,,Ryan Simmons,Permanent,Male,Married,Trainees,Operations,11.5,2023,2+ Years,Company Sponsored,2.99,34.5,30-34,2yr,1
On-Board,,180698.0,Mia Walker,2023-05-18,,Ryan Simmons,Permanent,Male,Single,Trainees,Operations,3.5,2023,2+ Years,Company Sponsored,2.97,26.5,25-29,2yr,0
Attrition,,124433.0,Alexander Hall,2023-06-01,2023-07-11,Janelle Wiley,Permanent,Female,Single,Professional,Hr,0.0,2023,2+ Years,Company Sponsored,2.93,23.0,<25,2yr,1
On-Board,Onroll,151636.0,Charlotte Young,2023-06-06,,Ryan Simmons,Permanent,Male,Single,Professional,Hr,1.8,2023,2+ Years,Company Sponsored,2.92,24.8,<25,2yr,0
On-Board,Onroll,173529.0,Jack King,2023-06-06,,Ryan Simmons,Permanent,Female,Single,Professional,Hr,1.5,2023,2+ Years,Company Sponsored,2.92,24.5,<25,2yr,0
On-Board,Onroll,116633.0,Amelia Wright,2023-06-06,,Ryan Simmons,Permanent,Female,Single,Professional,Hr,0.11,2023,2+ Years,Company Sponsored,2.92,23.1,<25,2yr,0
On-Board,Onroll,160990.0,Ethan Scott,2023-06-06,,Ryan Simmons,Permanent,Male,Single,Professional,Hr,0.0,2023,2+ Years,Company Sponsored,2.92,23.0,<25,2yr,0
Attrition,,170513.0,Emily Green,2023-06-08,2024-03-31,Ryan Simmons,Permanent,Female,Single,Trainees,Operations,7.0,2023,2+ Years,Company Sponsored,2.92,30.0,30-34,2yr,1
On-Board,,167822.0,Noah Baker,2023-06-29,,Ryan Simmons,Permanent,Male,Married,Professional,Hr,7.0,2023,2+ Years,Company Sponsored,2.86,30.0,30-34,2yr,0
On-Board,,161037.0,Ava Hill,2023-07-04,,Ryan Simmons,Permanent,Female,Single,Professional,Operations,5.0,2023,2+ Years,Company Sponsored,2.84,28.0,25-29,2yr,0
On-Board,,153255.0,Lucas Adams,2023-07-13,,Ryan Simmons,Permanent,Female,Single,Professional,Legal,3.8,2023,2+ Years,Company Sponsored,2.82,26.8,25-29,2yr,0
On-Board,,123179.0,Evelyn Nelson,2023-07-18,,Ryan Simmons,Permanent,Female,Single,Trainees,Hr,6.5,2023,2+ Years,Company Sponsored,2.81,29.5,25-29,2yr,0
On-Board,,189554.0,Mason Carter,2023-07-27,,Ryan Simmons,Permanent,Female,Married,Trainees,Hr,8.0,2023,2+ Years,Company Sponsored,2.78,31.0,30-34,2yr,0
On-Board,,186786.0,Abigail Mitchell,2023-08-01,,Roberta Moyer,Permanent,Female,Single,Professional,Sales,1.5,2023,2+ Years,Company Sponsored,2.77,24.5,<25,2yr,0
On-Board,,186818.0,Ibrahim Diallo,2023-08-03,,Roberta Moyer,Permanent,Male,Single,Trainees,Sales,7.0,2023,2+ Years,Company Sponsored,2.76,30.0,30-34,2yr,0
On-Board,,147963.0,Amina Sow,2023-08-16,,Ryan Simmons,Permanent,Female,Married,Trainees,Operations,15.0,2023,2+ Years,Company Sponsored,2.73,38.0,35-39,2yr,0
On-Board,,150614.0,Kofi Mensah,2023-09-12,,Ryan Simmons,Permanent,Male,Married,Trainees,Finance,10.7,2023,2+ Years,Company Sponsored,2.65,33.7,30-34,2yr,0
On-Board,,137151.0,Abena Osei,2023-09-26,,Janelle Wiley,Permanent,Female,Single,Professional,Sales,2.0,2023,2+ Years,Company Sponsored,2.61,25.0,25-29,2yr,0
On-Board,Onroll,173998.0,Tendai Moyo,2023-10-28,,Ryan Simmons,Permanent,Male,Single,Trainees,Accounting,5.3,2023,2+ Years,Company Sponsored,2.53,28.3,25-29,2yr,0
On-Board,Onroll,103925.0,Chidi Okafor,2023-11-30,,Ryan Simmons,Permanent,Male,Married,Professional,Marketing,4.5,2023,2+ Years,Company Sponsored,2.44,27.5,25-29,2yr,0
On-Board,,118694.0,Ngozi Eke,2023-12-05,,Ryan Simmons,Permanent,Male,Single,Professional,Marketing,3.5,2023,2+ Years,Company Sponsored,2.42,26.5,25-29,2yr,0
On-Board,,195849.0,Youssef Bakir,2023-12-05,,Ryan Simmons,Permanent,Female,Single,Professional,Marketing,1.5,2023,2+ Years,Company Sponsored,2.42,24.5,<25,2yr,0
On-Board,,182665.0,Nour El-Din,2023-12-07,,Ryan Simmons,Permanent,Female,Married,Trainees,Legal,10.9,2023,2+ Years,Company Sponsored,2.42,33.9,30-34,2yr,0
On-Board,,151067.0,Hassan Mansour,2023-12-12,,Darryl Leon,Permanent,Female,Married,Professional,Hr,2.8,2023,2+ Years,Company Sponsored,2.4,25.8,25-29,2yr,0
On-Board,Onroll,188212.0,Mei Chen,2023-12-14,,Ryan Simmons,Permanent,Male,Married,Trainees,Legal,7.5,2023,2+ Years,Company Sponsored,2.4,30.5,30-34,2yr,0
On-Board,Onroll,188527.0,Wei Zhang,2023-12-14,,Ryan Simmons,Permanent,Female,Single,Professional,Marketing,10.0,2023,2+ Years,Company Sponsored,2.4,33.0,30-34,2yr,0
